Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_AM->ATL	Data-ld-ln	Full-ld-ln
194194	 0.00001	 0.00003	 0.00000	 0.00004	 0.01842	 0.00000	 0.00000	 0.00000		215.950177	-2832.083414
195195	 0.00000	 0.00001	 0.00000	 0.00006	 0.01495	 0.00000	 0.00000	 0.00000		238.125503	-2963.214355
196196	 0.00000	 0.00005	 0.00000	 0.00007	 0.01795	 0.00000	 0.00000	 0.00000		225.495202	-2837.538026
197197	 0.00000	 0.00007	 0.00000	 0.00011	 0.01781	 0.00000	 0.00000	 0.00000		222.771975	-2900.893171
198198	 0.00000	 0.00008	 0.00000	 0.00007	 0.01895	 0.00000	 0.00000	 0.00000		226.488868	-2881.509610
199199	 0.00000	 0.00001	 0.00000	 0.00004	 0.01749	 0.00000	 0.00000	 0.00000		228.226786	-2788.730771
200200	 0.00000	 0.00003	 0.00000	 0.00013	 0.01781	 0.00000	 0.00000	 0.00000		227.328950	-2750.525891
201201	 0.00000	 0.00003	 0.00000	 0.00008	 0.01812	 0.00000	 0.00000	 0.00000		242.278561	-2795.615155
202202	 0.00000	 0.00000	 0.00000	 0.00021	 0.01786	 0.00000	 0.00000	 0.00000		242.143691	-2886.316865
203203	 0.00000	 0.00001	 0.00000	 0.00007	 0.01827	 0.00000	 0.00000	 0.00000		246.311363	-2869.494146
204204	 0.00000	 0.00000	 0.00000	 0.00014	 0.01832	 0.00000	 0.00000	 0.00000		260.759631	-2800.084817
205205	 0.00000	 0.00000	 0.00000	 0.00001	 0.01871	 0.00000	 0.00000	 0.00000		263.480776	-2829.081692
206206	 0.00000	 0.00000	 0.00000	 0.00011	 0.01808	 0.00000	 0.00000	 0.00000		264.864331	-2793.859300
207207	 0.00000	 0.00000	 0.00000	 0.00010	 0.01661	 0.00000	 0.00000	 0.00000		275.533770	-2871.647292
208208	 0.00000	 0.00000	 0.00000	 0.00004	 0.01566	 0.00000	 0.00000	 0.00000		280.723229	-2918.567997
209209	 0.00000	 0.00000	 0.00000	 0.00010	 0.01787	 0.00000	 0.00000	 0.00000		271.758357	-2838.493068
210210	 0.00000	 0.00000	 0.00000	 0.00002	 0.01836	 0.00000	 0.00000	 0.00000		270.901812	-2894.169240
211211	 0.00000	 0.00000	 0.00000	 0.00013	 0.01896	 0.00000	 0.00000	 0.00000		271.310035	-2888.068970
212212	 0.00000	 0.00000	 0.00000	 0.00004	 0.01762	 0.00000	 0.00000	 0.00000		298.631797	-2803.060830
213213	 0.00000	 0.00000	 0.00000	 0.00012	 0.01673	 0.00000	 0.00000	 0.00000		279.594475	-2939.793973
214214	 0.00000	 0.00000	 0.00000	 0.00005	 0.01716	 0.00000	 0.00000	 0.00000		277.472578	-2950.866740
215215	 0.00000	 0.00000	 0.00000	 0.00010	 0.01927	 0.00000	 0.00000	 0.00000		278.383145	-2791.940504
216216	 0.00000	 0.00000	 0.00000	 0.00009	 0.01772	 0.00000	 0.00000	 0.00000		277.700106	-2773.014161
