Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
138138	 0.00008	 0.00012	 0.00009	 0.00030	 0.02620	 0.00000	 0.00003	 0.00000	 0.00000		194.579386	-3634.051847
139139	 0.00002	 0.00008	 0.00008	 0.00033	 0.02413	 0.00000	 0.00002	 0.00000	 0.00000		195.637577	-3655.161782
140140	 0.00001	 0.00004	 0.00004	 0.00012	 0.02334	 0.00000	 0.00001	 0.00000	 0.00000		216.018479	-3704.076950
141141	 0.00004	 0.00004	 0.00003	 0.00013	 0.02496	 0.00000	 0.00001	 0.00000	 0.00000		210.698940	-3728.486425
142142	 0.00002	 0.00005	 0.00003	 0.00018	 0.02273	 0.00000	 0.00001	 0.00000	 0.00000		204.109318	-3814.878411
143143	 0.00003	 0.00008	 0.00003	 0.00004	 0.02630	 0.00000	 0.00001	 0.00000	 0.00000		228.619003	-3667.525852
144144	 0.00010	 0.00007	 0.00005	 0.00025	 0.02587	 0.00000	 0.00002	 0.00000	 0.00000		190.966361	-3716.048402
145145	 0.00006	 0.00010	 0.00004	 0.00010	 0.02501	 0.00000	 0.00001	 0.00000	 0.00000		206.329544	-3762.066257
146146	 0.00014	 0.00033	 0.00006	 0.00020	 0.02666	 0.00001	 0.00002	 0.00000	 0.00000		193.594977	-3746.162636
147147	 0.00002	 0.00006	 0.00002	 0.00010	 0.02475	 0.00000	 0.00001	 0.00000	 0.00000		209.989954	-3712.150671
148148	 0.00003	 0.00003	 0.00001	 0.00006	 0.02694	 0.00000	 0.00000	 0.00000	 0.00000		222.378019	-3658.362876
149149	 0.00001	 0.00002	 0.00001	 0.00005	 0.02617	 0.00000	 0.00000	 0.00000	 0.00000		228.015723	-3618.294932
150150	 0.00001	 0.00004	 0.00001	 0.00005	 0.02330	 0.00000	 0.00000	 0.00000	 0.00000		223.080604	-3890.509416
151151	 0.00005	 0.00002	 0.00002	 0.00004	 0.02453	 0.00000	 0.00000	 0.00000	 0.00000		225.145140	-3712.268001
152152	 0.00001	 0.00002	 0.00001	 0.00004	 0.02456	 0.00000	 0.00000	 0.00000	 0.00000		231.904076	-3766.471041
153153	 0.00000	 0.00002	 0.00001	 0.00004	 0.02362	 0.00000	 0.00000	 0.00000	 0.00000		232.402322	-3824.958843
154154	 0.00000	 0.00001	 0.00001	 0.00003	 0.02383	 0.00000	 0.00000	 0.00000	 0.00000		246.716431	-3606.533534
155155	 0.00000	 0.00001	 0.00001	 0.00002	 0.02389	 0.00000	 0.00000	 0.00000	 0.00000		248.986137	-3754.626188
156156	 0.00000	 0.00000	 0.00001	 0.00004	 0.02560	 0.00000	 0.00000	 0.00000	 0.00000		234.441487	-3717.069521
157157	 0.00001	 0.00001	 0.00001	 0.00005	 0.02337	 0.00000	 0.00000	 0.00000	 0.00000		235.648643	-3670.497484
158158	 0.00000	 0.00001	 0.00001	 0.00005	 0.02358	 0.00000	 0.00000	 0.00000	 0.00000		227.009669	-3889.613605
159159	 0.00000	 0.00005	 0.00001	 0.00004	 0.02286	 0.00000	 0.00000	 0.00000	 0.00000		232.176319	-3667.883480
160160	 0.00000	 0.00001	 0.00001	 0.00004	 0.02523	 0.00000	 0.00000	 0.00000	 0.00000		243.101019	-3705.621047
161161	 0.00000	 0.00000	 0.00001	 0.00003	 0.02437	 0.00000	 0.00000	 0.00000	 0.00000		240.477509	-3656.033420
162162	 0.00000	 0.00000	 0.00000	 0.00001	 0.02395	 0.00000	 0.00000	 0.00000	 0.00000		264.076415	-3704.479385
163163	 0.00000	 0.00000	 0.00000	 0.00002	 0.02453	 0.00000	 0.00000	 0.00000	 0.00000		251.477000	-3621.225815
164164	 0.00000	 0.00001	 0.00001	 0.00004	 0.02334	 0.00000	 0.00000	 0.00000	 0.00000		229.612088	-3775.876329
165165	 0.00000	 0.00000	 0.00001	 0.00005	 0.02493	 0.00000	 0.00000	 0.00000	 0.00000		244.080493	-3653.731437
166166	 0.00000	 0.00000	 0.00001	 0.00006	 0.02415	 0.00000	 0.00000	 0.00000	 0.00000		233.046377	-3661.371142
167167	 0.00001	 0.00002	 0.00002	 0.00013	 0.02466	 0.00000	 0.00001	 0.00000	 0.00000		216.745839	-3696.368598
168168	 0.00001	 0.00001	 0.00002	 0.00008	 0.02616	 0.00000	 0.00001	 0.00000	 0.00000		235.710890	-3518.263260
169169	 0.00001	 0.00001	 0.00004	 0.00018	 0.02421	 0.00000	 0.00001	 0.00000	 0.00000		218.834149	-3697.207556
170170	 0.00001	 0.00004	 0.00003	 0.00010	 0.02468	 0.00000	 0.00001	 0.00000	 0.00000		221.336685	-3688.520234
171171	 0.00001	 0.00016	 0.00001	 0.00010	 0.02592	 0.00000	 0.00000	 0.00000	 0.00000		211.738863	-3619.039600
172172	 0.00000	 0.00003	 0.00001	 0.00003	 0.02382	 0.00000	 0.00000	 0.00000	 0.00000		236.178074	-3754.462802
173173	 0.00000	 0.00002	 0.00001	 0.00004	 0.02421	 0.00000	 0.00000	 0.00000	 0.00000		241.482682	-3588.213883
174174	 0.00000	 0.00001	 0.00001	 0.00002	 0.02348	 0.00000	 0.00000	 0.00000	 0.00000		253.351547	-3641.238201
175175	 0.00000	 0.00000	 0.00002	 0.00008	 0.02525	 0.00000	 0.00001	 0.00000	 0.00000		229.487639	-3608.979296
176176	 0.00001	 0.00001	 0.00003	 0.00007	 0.02390	 0.00000	 0.00001	 0.00000	 0.00000		224.674129	-3673.194949
177177	 0.00001	 0.00002	 0.00005	 0.00025	 0.02427	 0.00000	 0.00002	 0.00000	 0.00000		209.474828	-3692.517352
178178	 0.00002	 0.00009	 0.00006	 0.00024	 0.02322	 0.00000	 0.00002	 0.00000	 0.00000		199.328112	-3617.778228
179179	 0.00003	 0.00005	 0.00004	 0.00015	 0.02471	 0.00000	 0.00001	 0.00000	 0.00000		209.095322	-3668.088361
180180	 0.00007	 0.00007	 0.00003	 0.00010	 0.02536	 0.00000	 0.00001	 0.00000	 0.00000		215.804139	-3648.169349
181181	 0.00011	 0.00007	 0.00005	 0.00021	 0.02308	 0.00000	 0.00002	 0.00000	 0.00000		200.513704	-3730.438995
182182	 0.00005	 0.00008	 0.00004	 0.00013	 0.02428	 0.00000	 0.00001	 0.00000	 0.00000		210.495027	-3677.694482
183183	 0.00007	 0.00008	 0.00007	 0.00021	 0.02817	 0.00000	 0.00002	 0.00000	 0.00000		201.997858	-3645.837217
184184	 0.00005	 0.00004	 0.00003	 0.00011	 0.02639	 0.00000	 0.00001	 0.00000	 0.00000		217.413000	-3628.113112
185185	 0.00005	 0.00006	 0.00004	 0.00009	 0.02430	 0.00000	 0.00001	 0.00000	 0.00000		216.223535	-3669.035573
186186	 0.00009	 0.00013	 0.00010	 0.00031	 0.02509	 0.00001	 0.00003	 0.00000	 0.00000		190.657644	-3688.580927
187187	 0.00016	 0.00020	 0.00011	 0.00027	 0.02374	 0.00001	 0.00004	 0.00000	 0.00000		197.573441	-3529.737437
188188	 0.00016	 0.00020	 0.00017	 0.00036	 0.02279	 0.00001	 0.00005	 0.00000	 0.00000		188.093251	-3684.346628
189189	 0.00013	 0.00013	 0.00009	 0.00014	 0.02639	 0.00001	 0.00002	 0.00000	 0.00000		204.261446	-3594.872884
190190	 0.00032	 0.00018	 0.00013	 0.00029	 0.02422	 0.00001	 0.00004	 0.00000	 0.00000		192.568504	-3621.774599
191191	 0.00020	 0.00015	 0.00012	 0.00026	 0.02422	 0.00001	 0.00004	 0.00000	 0.00000		198.753774	-3639.341756
192192	 0.00009	 0.00016	 0.00010	 0.00036	 0.02225	 0.00001	 0.00003	 0.00000	 0.00000		192.454005	-3722.660637
193193	 0.00007	 0.00023	 0.00009	 0.00031	 0.02588	 0.00000	 0.00003	 0.00000	 0.00000		192.870364	-3673.077291
194194	 0.00006	 0.00005	 0.00003	 0.00012	 0.02439	 0.00000	 0.00001	 0.00000	 0.00000		212.842208	-3624.782058
195195	 0.00008	 0.00010	 0.00003	 0.00008	 0.02541	 0.00000	 0.00001	 0.00000	 0.00000		214.170952	-3643.682889
196196	 0.00017	 0.00017	 0.00006	 0.00008	 0.02728	 0.00001	 0.00002	 0.00000	 0.00000		208.422935	-3671.890574
197197	 0.00013	 0.00029	 0.00006	 0.00011	 0.02332	 0.00001	 0.00002	 0.00000	 0.00000		200.574436	-3888.674740
