Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
110110	 0.00013	 0.00030	 0.00005	 0.00030	 0.01540	 0.00001	 0.00002	 0.00000		185.908272	-2586.158519
111111	 0.00007	 0.00011	 0.00003	 0.00024	 0.01582	 0.00001	 0.00001	 0.00000		197.920944	-2689.326032
112112	 0.00003	 0.00007	 0.00002	 0.00005	 0.01658	 0.00000	 0.00000	 0.00000		213.923834	-2552.234096
113113	 0.00005	 0.00015	 0.00002	 0.00010	 0.01660	 0.00000	 0.00001	 0.00000		195.225170	-2570.013760
114114	 0.00005	 0.00011	 0.00003	 0.00023	 0.01555	 0.00000	 0.00001	 0.00000		189.892099	-2720.873276
115115	 0.00011	 0.00037	 0.00005	 0.00020	 0.01784	 0.00001	 0.00001	 0.00000		184.491626	-2560.887765
116116	 0.00010	 0.00025	 0.00003	 0.00007	 0.01667	 0.00001	 0.00001	 0.00000		193.751711	-2619.484905
117117	 0.00006	 0.00010	 0.00002	 0.00017	 0.01592	 0.00000	 0.00001	 0.00000		196.935173	-2535.202533
118118	 0.00013	 0.00028	 0.00005	 0.00022	 0.01489	 0.00001	 0.00001	 0.00000		183.261431	-2635.942334
119119	 0.00009	 0.00022	 0.00003	 0.00002	 0.01438	 0.00001	 0.00001	 0.00000		185.475981	-2586.436860
120120	 0.00009	 0.00030	 0.00003	 0.00006	 0.01541	 0.00001	 0.00001	 0.00000		190.477195	-2558.495016
121121	 0.00004	 0.00006	 0.00001	 0.00009	 0.01549	 0.00000	 0.00000	 0.00000		211.560270	-2543.544794
122122	 0.00003	 0.00007	 0.00002	 0.00010	 0.01630	 0.00000	 0.00001	 0.00000		210.173712	-2586.422050
123123	 0.00003	 0.00011	 0.00002	 0.00032	 0.01645	 0.00000	 0.00001	 0.00000		198.018859	-2529.597089
124124	 0.00001	 0.00006	 0.00001	 0.00007	 0.01711	 0.00000	 0.00000	 0.00000		214.346681	-2553.505248
125125	 0.00001	 0.00008	 0.00001	 0.00011	 0.01570	 0.00000	 0.00000	 0.00000		209.152474	-2601.139787
126126	 0.00002	 0.00014	 0.00002	 0.00035	 0.01584	 0.00000	 0.00001	 0.00000		196.408532	-2648.936488
127127	 0.00002	 0.00006	 0.00001	 0.00018	 0.01628	 0.00000	 0.00000	 0.00000		206.972180	-2611.287870
128128	 0.00002	 0.00007	 0.00001	 0.00006	 0.01713	 0.00000	 0.00000	 0.00000		203.649887	-2577.773618
129129	 0.00001	 0.00002	 0.00000	 0.00003	 0.01643	 0.00000	 0.00000	 0.00000		227.073350	-2566.906145
130130	 0.00001	 0.00003	 0.00001	 0.00003	 0.01546	 0.00000	 0.00000	 0.00000		225.832114	-2583.204932
131131	 0.00001	 0.00002	 0.00000	 0.00002	 0.01790	 0.00000	 0.00000	 0.00000		227.656288	-2565.834378
132132	 0.00001	 0.00001	 0.00000	 0.00005	 0.01584	 0.00000	 0.00000	 0.00000		222.734953	-2619.206122
133133	 0.00001	 0.00006	 0.00000	 0.00002	 0.01734	 0.00000	 0.00000	 0.00000		219.908754	-2532.482887
134134	 0.00001	 0.00004	 0.00000	 0.00017	 0.01697	 0.00000	 0.00000	 0.00000		207.892066	-2579.366426
135135	 0.00001	 0.00003	 0.00000	 0.00010	 0.01682	 0.00000	 0.00000	 0.00000		218.123917	-2578.495364
136136	 0.00001	 0.00003	 0.00000	 0.00003	 0.01544	 0.00000	 0.00000	 0.00000		213.688913	-2610.264338
137137	 0.00002	 0.00004	 0.00001	 0.00007	 0.01655	 0.00000	 0.00000	 0.00000		211.608522	-2577.698284
138138	 0.00002	 0.00003	 0.00000	 0.00002	 0.01707	 0.00000	 0.00000	 0.00000		209.118311	-2585.547947
139139	 0.00001	 0.00003	 0.00000	 0.00005	 0.01597	 0.00000	 0.00000	 0.00000		224.659750	-2508.303854
140140	 0.00001	 0.00004	 0.00000	 0.00009	 0.01669	 0.00000	 0.00000	 0.00000		212.039621	-2576.129127
141141	 0.00001	 0.00003	 0.00000	 0.00009	 0.01510	 0.00000	 0.00000	 0.00000		223.579255	-2614.588432
142142	 0.00002	 0.00008	 0.00001	 0.00016	 0.01644	 0.00000	 0.00000	 0.00000		200.154525	-2599.692997
143143	 0.00003	 0.00007	 0.00001	 0.00010	 0.01572	 0.00000	 0.00000	 0.00000		204.284213	-2607.135444
144144	 0.00007	 0.00033	 0.00003	 0.00016	 0.01691	 0.00001	 0.00001	 0.00000		180.812966	-2644.375695
145145	 0.00007	 0.00019	 0.00003	 0.00010	 0.01431	 0.00001	 0.00001	 0.00000		199.129972	-2597.338119
146146	 0.00009	 0.00022	 0.00003	 0.00014	 0.01470	 0.00001	 0.00001	 0.00000		190.371124	-2727.762555
147147	 0.00006	 0.00018	 0.00002	 0.00006	 0.01635	 0.00001	 0.00001	 0.00000		197.786290	-2537.258837
148148	 0.00007	 0.00018	 0.00002	 0.00007	 0.01721	 0.00001	 0.00001	 0.00000		190.099156	-2548.712278
149149	 0.00004	 0.00011	 0.00001	 0.00001	 0.01617	 0.00000	 0.00000	 0.00000		204.175357	-2537.904689
150150	 0.00006	 0.00012	 0.00002	 0.00003	 0.01461	 0.00001	 0.00001	 0.00000		196.949506	-2604.128062
151151	 0.00006	 0.00025	 0.00002	 0.00001	 0.01576	 0.00001	 0.00001	 0.00000		214.440691	-2620.805353
152152	 0.00005	 0.00012	 0.00002	 0.00002	 0.01664	 0.00001	 0.00001	 0.00000		210.012737	-2570.086158
153153	 0.00004	 0.00021	 0.00001	 0.00013	 0.01634	 0.00000	 0.00000	 0.00000		192.935916	-2627.779753
154154	 0.00002	 0.00006	 0.00001	 0.00016	 0.01624	 0.00000	 0.00000	 0.00000		211.463746	-2595.504271
155155	 0.00003	 0.00008	 0.00001	 0.00006	 0.01616	 0.00000	 0.00000	 0.00000		204.920554	-2594.701082
156156	 0.00006	 0.00035	 0.00002	 0.00004	 0.01633	 0.00001	 0.00001	 0.00000		198.400656	-2675.678521
157157	 0.00005	 0.00023	 0.00002	 0.00003	 0.01659	 0.00001	 0.00001	 0.00000		199.598731	-2544.482634
158158	 0.00005	 0.00018	 0.00002	 0.00017	 0.01524	 0.00001	 0.00001	 0.00000		190.923540	-2582.346698
159159	 0.00003	 0.00009	 0.00001	 0.00006	 0.01813	 0.00000	 0.00000	 0.00000		195.357101	-2565.431392
160160	 0.00002	 0.00008	 0.00001	 0.00002	 0.01567	 0.00000	 0.00000	 0.00000		206.555146	-2669.309583
161161	 0.00002	 0.00007	 0.00001	 0.00001	 0.01642	 0.00000	 0.00000	 0.00000		209.174710	-2628.301640
162162	 0.00001	 0.00006	 0.00000	 0.00002	 0.01576	 0.00000	 0.00000	 0.00000		216.459682	-2596.537561
163163	 0.00001	 0.00011	 0.00000	 0.00001	 0.01474	 0.00000	 0.00000	 0.00000		213.775678	-2671.312562
164164	 0.00001	 0.00004	 0.00000	 0.00005	 0.01577	 0.00000	 0.00000	 0.00000		206.829884	-2562.381276
165165	 0.00001	 0.00007	 0.00000	 0.00007	 0.01559	 0.00000	 0.00000	 0.00000		209.285146	-2657.659104
166166	 0.00001	 0.00007	 0.00000	 0.00001	 0.01647	 0.00000	 0.00000	 0.00000		205.861190	-2565.996966
167167	 0.00001	 0.00003	 0.00000	 0.00016	 0.01455	 0.00000	 0.00000	 0.00000		210.015390	-2641.708513
168168	 0.00000	 0.00002	 0.00000	 0.00009	 0.01864	 0.00000	 0.00000	 0.00000		217.829972	-2591.489240
169169	 0.00000	 0.00001	 0.00000	 0.00001	 0.01491	 0.00000	 0.00000	 0.00000		234.642079	-2622.105738
170170	 0.00000	 0.00001	 0.00000	 0.00018	 0.01628	 0.00000	 0.00000	 0.00000		226.930588	-2621.873372
171171	 0.00000	 0.00000	 0.00000	 0.00010	 0.01674	 0.00000	 0.00000	 0.00000		238.957615	-2606.498066
172172	 0.00000	 0.00004	 0.00000	 0.00001	 0.01549	 0.00000	 0.00000	 0.00000		234.622992	-2626.943578
173173	 0.00000	 0.00000	 0.00000	 0.00009	 0.01682	 0.00000	 0.00000	 0.00000		236.685250	-2543.697276
174174	 0.00000	 0.00001	 0.00000	 0.00004	 0.01475	 0.00000	 0.00000	 0.00000		242.535373	-2623.607562
175175	 0.00000	 0.00001	 0.00000	 0.00014	 0.01621	 0.00000	 0.00000	 0.00000		230.953669	-2677.998634
176176	 0.00000	 0.00000	 0.00000	 0.00010	 0.01667	 0.00000	 0.00000	 0.00000		243.882507	-2573.210067
177177	 0.00000	 0.00000	 0.00000	 0.00001	 0.01743	 0.00000	 0.00000	 0.00000		243.632091	-2602.062060
178178	 0.00000	 0.00002	 0.00000	 0.00020	 0.01573	 0.00000	 0.00000	 0.00000		218.355458	-2516.346824
179179	 0.00000	 0.00001	 0.00000	 0.00008	 0.01566	 0.00000	 0.00000	 0.00000		232.146539	-2612.950834
180180	 0.00001	 0.00003	 0.00000	 0.00007	 0.01459	 0.00000	 0.00000	 0.00000		218.247684	-2645.686156
181181	 0.00002	 0.00004	 0.00001	 0.00006	 0.01706	 0.00000	 0.00000	 0.00000		204.497933	-2604.999668
182182	 0.00001	 0.00003	 0.00000	 0.00004	 0.01555	 0.00000	 0.00000	 0.00000		222.957397	-2654.575275
183183	 0.00001	 0.00002	 0.00001	 0.00005	 0.01542	 0.00000	 0.00000	 0.00000		219.127214	-2571.026862
184184	 0.00001	 0.00007	 0.00000	 0.00002	 0.01619	 0.00000	 0.00000	 0.00000		221.592055	-2548.785959
185185	 0.00004	 0.00009	 0.00001	 0.00006	 0.01670	 0.00000	 0.00000	 0.00000		207.140506	-2563.294010
186186	 0.00005	 0.00018	 0.00002	 0.00011	 0.01788	 0.00000	 0.00001	 0.00000		200.797825	-2528.496298
187187	 0.00007	 0.00018	 0.00003	 0.00008	 0.01617	 0.00001	 0.00001	 0.00000		202.944106	-2554.707224
188188	 0.00003	 0.00015	 0.00002	 0.00008	 0.01540	 0.00000	 0.00001	 0.00000		209.750113	-2616.140912
189189	 0.00001	 0.00005	 0.00002	 0.00028	 0.01611	 0.00000	 0.00001	 0.00000		209.292591	-2646.538231
