Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	Data-ld-ln	Full-ld-ln
110110	 0.00003	 0.00005	 0.00003	 0.00014	 0.01250	 0.00000	 0.00001		218.015137	-2123.724632
111111	 0.00001	 0.00003	 0.00002	 0.00020	 0.01286	 0.00000	 0.00001		229.721252	-2162.426347
112112	 0.00004	 0.00008	 0.00003	 0.00010	 0.01384	 0.00000	 0.00001		219.655768	-2076.621515
113113	 0.00007	 0.00013	 0.00008	 0.00021	 0.01331	 0.00001	 0.00003		209.135759	-2173.623206
114114	 0.00004	 0.00007	 0.00012	 0.00044	 0.01243	 0.00001	 0.00003		207.683524	-2195.941062
115115	 0.00005	 0.00009	 0.00008	 0.00061	 0.01341	 0.00000	 0.00003		200.528446	-2135.524741
116116	 0.00003	 0.00004	 0.00005	 0.00040	 0.01413	 0.00000	 0.00002		212.224043	-2145.218161
117117	 0.00004	 0.00010	 0.00010	 0.00035	 0.01373	 0.00001	 0.00003		206.265773	-2171.776291
118118	 0.00005	 0.00005	 0.00012	 0.00060	 0.01306	 0.00000	 0.00004		203.256761	-2195.156878
119119	 0.00001	 0.00003	 0.00004	 0.00014	 0.01346	 0.00000	 0.00001		228.942284	-2135.769494
120120	 0.00004	 0.00005	 0.00006	 0.00030	 0.01372	 0.00000	 0.00002		211.178765	-2124.406881
121121	 0.00003	 0.00008	 0.00006	 0.00029	 0.01330	 0.00000	 0.00002		214.001907	-2116.640978
122122	 0.00007	 0.00018	 0.00022	 0.00072	 0.01297	 0.00001	 0.00006		194.429776	-2227.360137
123123	 0.00007	 0.00010	 0.00008	 0.00048	 0.01166	 0.00001	 0.00002		206.041278	-2157.164398
124124	 0.00020	 0.00026	 0.00011	 0.00021	 0.01299	 0.00002	 0.00003		194.851765	-2143.775831
125125	 0.00011	 0.00013	 0.00004	 0.00013	 0.01256	 0.00001	 0.00001		203.952319	-2156.964907
126126	 0.00005	 0.00006	 0.00002	 0.00003	 0.01131	 0.00001	 0.00001		224.148369	-2197.737552
127127	 0.00012	 0.00020	 0.00004	 0.00008	 0.01330	 0.00001	 0.00002		207.410054	-2162.298815
128128	 0.00011	 0.00032	 0.00006	 0.00014	 0.01296	 0.00001	 0.00002		198.841823	-2196.088550
129129	 0.00009	 0.00010	 0.00004	 0.00007	 0.01217	 0.00001	 0.00002		222.485518	-2082.118170
130130	 0.00028	 0.00048	 0.00011	 0.00012	 0.01271	 0.00003	 0.00004		191.284812	-2179.425260
131131	 0.00007	 0.00015	 0.00003	 0.00006	 0.01363	 0.00001	 0.00001		208.899991	-2146.808736
132132	 0.00005	 0.00008	 0.00003	 0.00006	 0.01433	 0.00001	 0.00001		207.972305	-2090.905731
133133	 0.00005	 0.00011	 0.00002	 0.00002	 0.01415	 0.00001	 0.00001		218.311654	-2054.819765
134134	 0.00007	 0.00007	 0.00003	 0.00006	 0.01296	 0.00001	 0.00001		208.813257	-2174.905304
135135	 0.00009	 0.00009	 0.00003	 0.00002	 0.01355	 0.00001	 0.00001		212.818478	-2094.927600
136136	 0.00010	 0.00014	 0.00005	 0.00006	 0.01357	 0.00001	 0.00002		204.678080	-2165.531340
137137	 0.00014	 0.00028	 0.00007	 0.00010	 0.01287	 0.00002	 0.00002		195.993177	-2201.390305
138138	 0.00012	 0.00028	 0.00005	 0.00013	 0.01426	 0.00002	 0.00002		197.661620	-2139.298164
139139	 0.00018	 0.00031	 0.00006	 0.00023	 0.01398	 0.00001	 0.00002		192.931257	-2219.927758
140140	 0.00004	 0.00007	 0.00003	 0.00015	 0.01229	 0.00000	 0.00001		220.416789	-2134.365525
141141	 0.00006	 0.00009	 0.00004	 0.00014	 0.01283	 0.00001	 0.00001		212.743477	-2174.260653
142142	 0.00010	 0.00020	 0.00006	 0.00023	 0.01392	 0.00001	 0.00002		204.440829	-2176.253092
143143	 0.00014	 0.00034	 0.00010	 0.00012	 0.01427	 0.00002	 0.00003		204.573660	-2082.594202
144144	 0.00013	 0.00019	 0.00005	 0.00006	 0.01344	 0.00002	 0.00002		206.685679	-2105.197136
145145	 0.00008	 0.00008	 0.00003	 0.00006	 0.01462	 0.00001	 0.00001		211.952231	-2176.310278
146146	 0.00015	 0.00019	 0.00005	 0.00011	 0.01360	 0.00001	 0.00002		199.786116	-2181.723538
147147	 0.00007	 0.00013	 0.00004	 0.00005	 0.01276	 0.00001	 0.00001		215.307072	-2183.825270
148148	 0.00011	 0.00016	 0.00005	 0.00006	 0.01266	 0.00001	 0.00002		215.797115	-2083.718229
149149	 0.00006	 0.00009	 0.00002	 0.00004	 0.01281	 0.00000	 0.00001		226.335436	-2074.628937
150150	 0.00003	 0.00004	 0.00002	 0.00010	 0.01357	 0.00000	 0.00001		226.092512	-2112.109275
151151	 0.00001	 0.00002	 0.00000	 0.00004	 0.01266	 0.00000	 0.00000		237.094525	-2148.574318
152152	 0.00003	 0.00004	 0.00001	 0.00006	 0.01357	 0.00000	 0.00001		228.355951	-2123.111617
153153	 0.00005	 0.00008	 0.00003	 0.00008	 0.01377	 0.00001	 0.00001		220.133889	-2085.028493
154154	 0.00016	 0.00031	 0.00007	 0.00007	 0.01211	 0.00002	 0.00003		206.691787	-2046.096616
155155	 0.00016	 0.00028	 0.00005	 0.00014	 0.01235	 0.00002	 0.00002		188.786779	-2188.910949
156156	 0.00005	 0.00007	 0.00002	 0.00019	 0.01376	 0.00001	 0.00001		211.307611	-2131.239432
157157	 0.00012	 0.00025	 0.00005	 0.00006	 0.01389	 0.00001	 0.00002		194.388624	-2158.373660
158158	 0.00022	 0.00049	 0.00009	 0.00009	 0.01322	 0.00004	 0.00004		191.796215	-2188.150302
159159	 0.00022	 0.00039	 0.00010	 0.00006	 0.01297	 0.00003	 0.00003		194.874735	-2213.873041
160160	 0.00029	 0.00052	 0.00010	 0.00004	 0.01245	 0.00004	 0.00004		193.785450	-2178.260878
161161	 0.00016	 0.00025	 0.00006	 0.00001	 0.01332	 0.00002	 0.00002		210.756418	-2132.371525
162162	 0.00019	 0.00019	 0.00006	 0.00002	 0.01300	 0.00002	 0.00002		202.253247	-2190.572512
163163	 0.00013	 0.00021	 0.00005	 0.00005	 0.01293	 0.00002	 0.00002		201.633242	-2117.468458
164164	 0.00014	 0.00016	 0.00006	 0.00001	 0.01355	 0.00002	 0.00002		203.944232	-2156.962514
165165	 0.00023	 0.00027	 0.00007	 0.00006	 0.01309	 0.00003	 0.00003		192.449702	-2249.607851
166166	 0.00025	 0.00032	 0.00011	 0.00011	 0.01230	 0.00004	 0.00004		191.751665	-2219.188440
167167	 0.00036	 0.00040	 0.00010	 0.00005	 0.01306	 0.00004	 0.00004		198.745446	-2159.761240
168168	 0.00034	 0.00042	 0.00010	 0.00011	 0.01403	 0.00003	 0.00003		192.232859	-2094.442730
169169	 0.00016	 0.00028	 0.00009	 0.00022	 0.01354	 0.00003	 0.00003		197.087433	-2229.521343
